gene	MvsTFC	MvsLFC	MvsSFC	TvsLFC	TvsSFC	LvsSFC						
SCO1553	0,61	0,84	0,48	1,37	0,77	0,57						
SCO1555	0,92	0,71	0,36	0,77	0,40	0,51						
SCO1557	0,49	0,15	0,37	0,31	0,76	2,46						
SCO1558	0,66	0,23	0,38	0,34	0,57	1,69						
SCO1559	0,47	0,17	0,35	0,36	0,74	2,08						
SCO1560	0,75	0,46	0,31	0,61	0,41	0,67						
SCO1561	1,08	0,48	0,28	0,44	0,26	0,58						
SCO1562	0,93	0,47	0,30	0,50	0,32	0,64						
SCO1563	1,51	3,30	2,19	2,18	1,45	0,67						
SCO1564	5,84	12,18	17,99	2,08	3,08	1,48						
SCO1565	25,42	40,98	86,33	1,61	3,40	2,11						
SCO1566	1,18	0,66	0,52	0,56	0,44	0,78						
SCO1568	0,40	0,39	0,51	0,97	1,25	1,29						
SCO1569	1,55	2,67	1,69	1,72	1,08	0,63						
SCO1570	1,91	7,34	1,64	3,85	0,86	0,22						
SCO1571	1,12	2,70	6,82	2,42	6,11	2,52						
SCO1572	0,96	1,99	5,75	2,08	6,02	2,90						
SCO1573	1,23	4,18	187,74	3,40	152,45	44,90						
SCO1574	0,79	2,41	90,91	3,03	114,36	37,72						
SCO1575	1,38	2,40	62,21	1,75	45,23	25,88						
SCO1576	1,30	2,33	0,68	1,79	0,52	0,29						
SCO1577	1,69	4,11	0,86	2,44	0,51	0,21						
SCO1578	1,86	4,81	0,98	2,58	0,52	0,20						
SCO1579	1,56	5,82	1,12	3,74	0,72	0,19						
SCO1580	0,83	3,48	0,52	4,19	0,63	0,15						
SCO1582	1,79	1,29	0,52	0,72	0,29	0,40						
SCO1585	1,41	0,52	0,59	0,37	0,42	1,14						
SCO1588	0,32	0,17	0,14	0,52	0,43	0,82						
SCO1590	2,32	14,75	31,64	6,36	13,65	2,14						
SCO1591	1,22	0,52	0,31	0,43	0,25	0,59						
SCO1592	1,09	0,26	0,17	0,24	0,15	0,65						
SCO1593	0,35	0,38	0,76	1,09	2,18	1,99						
SCO1597	0,50	0,55	0,20	1,09	0,40	0,37						
SCO1598	0,63	0,83	0,39	1,31	0,61	0,47						
SCO1599	0,63	0,84	0,42	1,34	0,66	0,50						
SCO1600	0,64	0,75	0,41	1,18	0,65	0,55						
SCO1601	1,06	0,68	0,49	0,64	0,46	0,72						
SCO1607	0,82	0,57	0,37	0,70	0,46	0,65						
SCO1608	0,88	0,59	0,43	0,67	0,49	0,72						
SCO1610	1,14	1,43	3,90	1,26	3,43	2,72						
SCO1611	2,63	4,22	69,61	1,61	26,52	16,49						
SCO1612	3,11	4,07	79,81	1,31	25,63	19,59						
SCO1613	3,01	2,54	55,55	0,84	18,43	21,91						
SCO1614	0,79	0,80	3,51	1,02	4,46	4,37						
SCO1615	0,84	0,64	3,45	0,76	4,12	5,41						
SCO1616	0,64	0,38	0,26	0,60	0,40	0,67						
SCO1619	1,13	2,15	3,11	1,91	2,76	1,45						
SCO1620	0,37	0,09	0,02	0,25	0,04	0,16						
SCO1621	0,36	0,11	0,02	0,30	0,05	0,16						
SCO1623	1,05	0,41	2,02	0,39	1,93	4,89						
SCO1624	1,29	4,19	5,52	3,26	4,29	1,32						
SCO1625	0,75	1,83	2,12	2,45	2,84	1,16						
SCO1626	2,45	183,51	337,48	74,76	137,49	1,84						
SCO1627	3,51	263,81	572,58	75,16	163,13	2,17						
SCO1628	3,77	314,80	696,10	83,49	184,61	2,21						
SCO1629	2,54	238,67	543,20	93,98	213,90	2,28						
SCO1630	3,61	345,71	849,15	95,80	235,32	2,46						
SCO1631	1,09	1,77	2,14	1,63	1,97	1,21						
SCO1633	1,57	1,52	2,70	0,97	1,72	1,77						
SCO1639	0,91	2,07	1,33	2,28	1,47	0,64						
SCO1640	3,99	4,83	11,85	1,21	2,97	2,45						
SCO1641	2,43	0,74	0,17	0,30	0,07	0,23						
SCO1643	1,73	3,00	3,24	1,73	1,87	1,08						
SCO1644	1,92	3,14	3,73	1,63	1,94	1,19						
SCO1645	2,36	4,52	6,72	1,91	2,84	1,49						
SCO1646	2,78	5,90	9,62	2,12	3,45	1,63						
SCO1647	2,09	5,54	13,35	2,65	6,40	2,41						
SCO1648	3,32	5,27	15,79	1,59	4,76	2,99						
SCO1649	1,29	0,58	0,32	0,45	0,25	0,55						
SCO1651	0,63	0,47	0,38	0,75	0,61	0,81						
SCO1653	0,96	0,67	1,46	0,70	1,52	2,17						
SCO1655	0,69	0,45	0,23	0,66	0,33	0,50						
SCO1657	1,27	1,92	2,33	1,51	1,83	1,22						
SCO1658	0,75	0,45	0,33	0,60	0,44	0,73						
SCO1661	0,38	0,51	0,77	1,35	2,06	1,52						
SCO1666	1,88	2,23	2,85	1,18	1,52	1,28						
SCO1667	0,98	0,74	0,44	0,76	0,45	0,59						
SCO1669	1,45	1,32	2,30	0,91	1,59	1,75						
SCO1670	1,60	1,86	2,24	1,16	1,40	1,20						
SCO1671	0,85	0,67	1,46	0,79	1,71	2,17						
SCO1672	1,60	2,69	2,76	1,68	1,72	1,03						
SCO1673	1,97	1,37	3,37	0,70	1,71	2,45						
SCO1674	1,52	48,10	26,39	31,70	17,39	0,55						
SCO1675	2,50	117,48	83,30	47,05	33,36	0,71						
SCO1677	0,78	0,75	0,44	0,95	0,57	0,60						
SCO1678	1,13	0,54	0,42	0,48	0,37	0,77						
SCO1679	1,23	0,18	0,14	0,15	0,12	0,79						
SCO1680	1,46	0,21	0,26	0,14	0,18	1,28						
SCO1681	1,06	0,23	0,23	0,22	0,22	1,00						
SCO1682	0,75	0,21	0,15	0,28	0,20	0,73						
SCO1683	4,27	1,84	1,50	0,43	0,35	0,82						
SCO1684	3,09	1,26	0,93	0,41	0,30	0,74						
SCO1685	1,64	3,16	8,73	1,92	5,31	2,76						
SCO1687	1,24	0,64	0,55	0,52	0,44	0,86						
SCO1688	1,19	0,74	0,50	0,62	0,42	0,68						
SCO1692	2,86	2,94	2,60	1,03	0,91	0,89						
SCO1694	1,26	1,01	4,26	0,80	3,38	4,23						
SCO1695	0,95	3,19	3,72	3,35	3,92	1,17						
SCO1696	0,82	1,70	2,24	2,07	2,73	1,32						
