gene	MvsTFC	MvsLFC	MvsSFC	TvsLFC	TvsSFC	LvsSFC						
SCO5813	0,96	0,44	0,32	0,46	0,34	0,74						
SCO5814	1,96	1,32	3,53	0,67	1,80	2,67						
SCO5815	0,82	0,47	0,72	0,57	0,88	1,54						
SCO5819	1,47	22,95	31,15	15,57	21,13	1,36						
SCO5820	0,56	1,08	1,41	1,93	2,53	1,31						
SCO5821	0,46	0,63	0,42	1,37	0,91	0,67						
SCO5823	0,46	0,39	0,18	0,86	0,39	0,45						
SCO5824	0,69	0,64	0,43	0,94	0,63	0,68						
SCO5826	1,21	18,98	21,95	15,64	18,08	1,16						
SCO5827	2,66	82,71	81,95	31,06	30,77	0,99						
SCO5829	0,76	0,52	0,46	0,69	0,60	0,88						
SCO5830	1,12	0,14	0,41	0,13	0,37	2,93						
SCO5832	0,86	0,34	0,05	0,39	0,05	0,14						
SCO5834	1,52	3,35	8,33	2,20	5,47	2,49						
SCO5835	0,86	0,56	0,43	0,65	0,50	0,77						
SCO5837	1,21	2,39	1,53	1,96	1,26	0,64						
SCO5838	1,09	2,23	1,25	2,04	1,14	0,56						
SCO5839	0,32	1,63	0,81	5,16	2,56	0,50						
SCO5840	0,20	1,75	3,49	8,75	17,49	2,00						
SCO5841	0,77	0,54	0,41	0,71	0,53	0,75						
SCO5845	0,80	0,45	0,25	0,57	0,32	0,56						
SCO5846	1,58	0,86	0,57	0,55	0,36	0,66						
SCO5848	1,13	0,57	0,44	0,51	0,39	0,77						
SCO5849	1,43	0,76	0,59	0,53	0,41	0,77						
SCO5850	1,44	0,66	0,46	0,46	0,32	0,69						
SCO5851	1,44	0,73	0,56	0,50	0,39	0,77						
SCO5852	1,12	0,72	0,51	0,64	0,45	0,70						
SCO5853	1,90	3,69	3,88	1,94	2,04	1,05						
SCO5856	0,42	1,23	0,79	2,89	1,85	0,64						
SCO5858	0,68	0,44	0,42	0,64	0,61	0,96						
SCO5859	0,88	0,48	0,79	0,55	0,90	1,63						
SCO5862	0,94	2,62	4,89	2,80	5,22	1,87						
SCO5863	0,99	2,44	4,10	2,47	4,15	1,68						
SCO5866	0,96	0,49	0,44	0,51	0,46	0,90						
SCO5867	0,66	0,36	0,22	0,55	0,34	0,62						
SCO5868	0,82	0,56	0,35	0,69	0,43	0,62						
SCO5875	1,06	0,59	0,25	0,56	0,24	0,42						
SCO5876	1,05	0,53	0,28	0,51	0,26	0,52						
SCO5877	7,08	36,35	65,84	5,14	9,30	1,81						
SCO5878	5,29	31,14	56,58	5,89	10,70	1,82						
SCO5879	5,81	33,04	56,78	5,68	9,77	1,72						
SCO5880	5,57	33,71	66,87	6,05	12,00	1,98						
SCO5881	2,20	2,31	6,45	1,05	2,94	2,79						
SCO5882	12,11	88,30	116,86	7,29	9,65	1,32						
SCO5883	20,43	148,22	182,79	7,25	8,95	1,23						
SCO5884	16,31	105,41	160,14	6,46	9,82	1,52						
SCO5885	22,03	113,69	186,59	5,16	8,47	1,64						
SCO5886	24,94	183,74	230,20	7,37	9,23	1,25						
SCO5887	33,53	208,47	302,08	6,22	9,01	1,45						
SCO5888	24,76	136,52	171,74	5,51	6,94	1,26						
SCO5889	25,02	128,71	247,90	5,14	9,91	1,93						
SCO5890	19,45	119,54	200,05	6,15	10,29	1,67						
SCO5891	19,36	128,65	220,45	6,64	11,38	1,71						
SCO5892	20,41	176,83	287,55	8,66	14,09	1,63						
SCO5893	16,59	204,53	307,26	12,33	18,52	1,50						
SCO5894	12,91	144,29	208,67	11,18	16,17	1,45						
SCO5895	15,85	201,34	316,63	12,70	19,97	1,57						
SCO5896	13,18	187,17	269,93	14,20	20,48	1,44						
SCO5897	6,31	106,63	137,22	16,89	21,74	1,29						
SCO5898	4,57	72,45	64,79	15,87	14,19	0,89						
SCO5899	3,42	44,52	54,98	13,01	16,06	1,23						
SCO5901	0,41	0,39	0,20	0,94	0,49	0,51						
SCO5904	0,93	0,45	0,55	0,49	0,59	1,21						
SCO5905	0,87	0,43	0,29	0,49	0,33	0,67						
SCO5908	1,84	0,91	0,65	0,49	0,36	0,72						
SCO5909	2,56	1,24	1,14	0,49	0,44	0,91						
SCO5911	1,14	2,92	4,93	2,57	4,33	1,69						
SCO5912	0,84	0,74	1,62	0,87	1,91	2,19						
SCO5913	0,93	0,52	3,04	0,57	3,28	5,79						
SCO5915	2,47	1,99	1,99	0,81	0,80	1,00						
SCO5920	0,18	0,07	0,05	0,40	0,26	0,64						
SCO5921	0,08	0,07	0,10	0,81	1,20	1,48						
SCO5929	1,56	0,82	0,19	0,53	0,12	0,24						
SCO5930	1,10	0,27	0,09	0,25	0,09	0,34						
SCO5931	1,71	1,36	2,97	0,80	1,73	2,18						
SCO5933	0,56	0,43	0,37	0,78	0,67	0,86						
SCO5936	0,92	0,48	0,64	0,52	0,69	1,34						
SCO5937	0,87	0,39	0,71	0,46	0,82	1,80						
SCO5938	0,79	0,41	0,56	0,53	0,71	1,35						
SCO5940	1,11	0,58	0,38	0,52	0,34	0,66						
SCO5941	1,06	0,61	0,41	0,57	0,39	0,67						
SCO5952	2,65	5,91	9,29	2,23	3,50	1,57						
SCO5953	2,47	3,90	8,33	1,58	3,38	2,13						
SCO5954	1,70	2,55	11,29	1,50	6,64	4,43						
SCO5955	1,42	0,88	0,61	0,62	0,43	0,70						
SCO5956	0,86	0,61	0,45	0,71	0,53	0,74						
SCO5957	0,68	0,60	0,20	0,88	0,29	0,33						
SCO5958	0,55	0,46	0,19	0,83	0,35	0,42						
SCO5959	0,46	0,53	0,18	1,17	0,40	0,34						
SCO5960	0,54	0,94	0,37	1,76	0,69	0,39						
SCO5961	0,63	1,19	0,51	1,88	0,80	0,43						
SCO5967	0,83	0,66	0,46	0,79	0,55	0,70						
SCO5968	0,54	0,34	0,17	0,62	0,31	0,50						
SCO5970	0,87	2,62	11,27	3,02	12,99	4,30						
SCO5972	0,81	0,94	0,42	1,17	0,52	0,44						
SCO5973	0,84	1,07	0,47	1,28	0,56	0,44						
SCO5975	3,59	5,54	9,01	1,55	2,51	1,63						
SCO5976	1,35	3,38	1,60	2,50	1,18	0,47						
SCO5977	0,38	0,66	0,23	1,74	0,61	0,35						
SCO5978	0,37	0,21	0,44	0,57	1,20	2,13						
SCO5979	0,40	0,20	1,25	0,51	3,13	6,17						
SCO5980	0,91	0,33	1,27	0,36	1,40	3,89						
SCO5981	1,07	0,28	0,06	0,26	0,06	0,23						
SCO5982	0,93	0,26	0,05	0,28	0,05	0,18						
SCO5983	1,01	0,72	3,82	0,72	3,79	5,28						
SCO5986	1,98	1,85	2,26	0,93	1,14	1,23						
SCO5987	2,14	2,79	14,81	1,31	6,92	5,30						
SCO5991	1,24	0,58	0,40	0,47	0,33	0,69						
SCO5992	1,07	0,70	0,31	0,66	0,29	0,44						
SCO5993	0,84	0,73	0,42	0,87	0,49	0,57						
SCO5994	0,83	0,62	0,33	0,74	0,40	0,54						
SCO5995	2,57	15,50	27,38	6,03	10,64	1,77						
SCO5996	2,32	11,12	20,62	4,79	8,88	1,85						
SCO6001	1,02	1,57	3,25	1,54	3,20	2,07						
SCO6004	2,08	1,56	4,36	0,75	2,10	2,80						
SCO6005	3,16	3,75	6,63	1,19	2,10	1,77						
SCO6006	2,87	2,63	4,54	0,92	1,58	1,73						
SCO6007	3,24	3,35	4,46	1,03	1,38	1,33						
SCO6008	4,92	2,69	1,72	0,55	0,35	0,64						
SCO6009	2,88	1,04	0,41	0,36	0,14	0,39						
SCO6010	2,33	0,79	0,25	0,34	0,11	0,31						
SCO6011	2,34	0,74	0,21	0,32	0,09	0,29						
SCO6018	0,91	0,62	0,45	0,68	0,49	0,73						
SCO6019	0,66	0,18	0,12	0,27	0,18	0,69						
SCO6020	0,83	0,20	0,11	0,25	0,13	0,53						
SCO6021	0,58	0,17	0,20	0,30	0,34	1,14						
SCO6022	0,83	0,12	0,11	0,14	0,13	0,91						
SCO6023	0,84	0,10	0,10	0,12	0,12	0,99						
SCO6024	0,68	0,06	0,07	0,09	0,10	1,04						
SCO6025	0,89	0,11	0,10	0,13	0,11	0,89						
SCO6029	1,11	2,81	5,60	2,54	5,07	2,00						
SCO6031	0,75	0,43	0,29	0,57	0,38	0,67						
SCO6033	1,07	2,25	11,86	2,10	11,06	5,27						
SCO6034	0,72	1,23	7,54	1,70	10,44	6,15						
SCO6035	0,54	0,86	3,78	1,59	6,96	4,38						
SCO6036	1,03	0,95	4,39	0,92	4,26	4,61						
SCO6037	0,57	0,51	1,56	0,90	2,75	3,04						
SCO6040	1,38	1,34	3,85	0,97	2,78	2,86						
SCO6041	0,86	0,70	1,81	0,81	2,09	2,59						
SCO6045	2,78	0,55	0,23	0,20	0,08	0,42						
SCO6046	1,02	0,61	0,50	0,60	0,49	0,82						
SCO6047	1,57	0,74	0,64	0,47	0,41	0,87						
SCO6048	1,41	0,66	0,66	0,47	0,47	1,00						
SCO6052	2,09	0,81	1,30	0,39	0,62	1,61						
SCO6053	0,80	0,86	1,99	1,08	2,50	2,32						
SCO6054	0,70	1,16	2,44	1,66	3,49	2,10						
SCO6055	0,70	1,25	3,97	1,78	5,64	3,17						
SCO6056	0,88	0,92	2,82	1,04	3,21	3,07						
SCO6057	0,70	0,48	0,49	0,68	0,70	1,04						
SCO6059	1,18	4,65	7,15	3,94	6,06	1,54						
SCO6066	1,76	0,78	0,65	0,44	0,37	0,84						
SCO6067	1,71	0,85	0,61	0,50	0,35	0,71						
SCO6068	1,90	0,92	0,79	0,49	0,42	0,86						
SCO6069	1,77	0,80	0,73	0,45	0,41	0,91						
SCO6070	2,34	1,00	0,85	0,43	0,36	0,85						
SCO6071	0,95	0,60	0,41	0,63	0,43	0,68						
SCO6073	3,02	27,92	6,41	9,26	2,13	0,23						
SCO6074	2,59	26,15	3,99	10,11	1,54	0,15						
SCO6075	0,87	0,37	0,11	0,42	0,13	0,30						
SCO6076	1,82	3,60	5,77	1,98	3,17	1,60						
SCO6077	1,52	3,20	3,70	2,10	2,43	1,16						
SCO6078	2,45	9,53	10,74	3,88	4,38	1,13						
SCO6079	1,72	2,05	1,90	1,19	1,10	0,93						
SCO6080	3,52	3,57	4,58	1,01	1,30	1,28						
SCO6082	1,31	1,66	2,21	1,26	1,69	1,34						
SCO6083	0,63	0,75	0,47	1,18	0,74	0,63						
SCO6085	0,85	0,54	0,46	0,64	0,55	0,85						
SCO6086	0,93	0,98	2,69	1,05	2,90	2,76						
SCO6087	0,83	0,75	2,07	0,91	2,49	2,74						
SCO6088	0,88	0,93	1,99	1,06	2,26	2,14						
SCO6091	1,03	1,64	2,11	1,59	2,04	1,29						
SCO6093	6,55	0,38	1,58	0,06	0,24	4,20						
SCO6094	6,41	0,33	2,28	0,05	0,36	6,89						
SCO6095	6,17	0,44	2,56	0,07	0,42	5,83						
SCO6096	5,61	0,35	2,02	0,06	0,36	5,83						
SCO6097	5,79	0,44	3,97	0,08	0,69	9,06						
SCO6098	5,23	0,40	4,48	0,08	0,86	11,24						
SCO6099	4,27	0,37	4,25	0,09	1,00	11,62						
SCO6100	5,97	0,56	7,53	0,09	1,26	13,47						
SCO6101	4,12	0,23	6,14	0,06	1,49	26,51						
SCO6102	4,02	0,33	7,99	0,08	1,99	23,97						
SCO6104	1,45	2,21	4,89	1,52	3,37	2,22						
SCO6106	1,21	2,41	3,27	1,99	2,70	1,36						
SCO6108	4,10	3,54	0,76	0,86	0,19	0,21						
SCO6109	4,28	3,63	0,91	0,85	0,21	0,25						
SCO6112	0,99	1,03	1,99	1,04	2,00	1,92						
SCO6113	1,30	1,33	2,61	1,02	2,01	1,97						
SCO6114	1,29	1,47	3,22	1,14	2,49	2,19						
SCO6118	1,44	0,83	0,71	0,58	0,50	0,86						
SCO6120	1,91	1,66	10,94	0,87	5,73	6,57						
SCO6121	0,55	1,48	0,65	2,70	1,20	0,44						
SCO6122	0,67	2,14	0,82	3,17	1,21	0,38						
SCO6124	5,43	2,41	0,25	0,44	0,05	0,10						
SCO6125	4,09	1,57	0,39	0,38	0,10	0,25						
SCO6127	0,84	1,63	2,77	1,96	3,31	1,69						
SCO6128	2,21	2,45	4,32	1,11	1,96	1,76						
SCO6129	1,53	9,21	18,79	6,01	12,27	2,04						
SCO6131	1,02	3,18	2,12	3,12	2,08	0,67						
SCO6132	1,00	0,36	0,26	0,36	0,26	0,73						
SCO6133	1,10	0,42	0,27	0,38	0,25	0,64						
SCO6134	1,42	0,46	0,41	0,32	0,29	0,90						
SCO6135	1,78	0,40	0,48	0,22	0,27	1,21						
SCO6136	1,18	0,33	0,26	0,28	0,22	0,80						
SCO6141	1,15	3,06	2,13	2,65	1,85	0,70						
SCO6145	7,44	34,34	235,41	4,62	31,66	6,86						
SCO6146	3,16	24,30	108,35	7,69	34,29	4,46						
SCO6149	0,57	0,45	0,25	0,78	0,43	0,55						
SCO6150	0,89	1,28	2,49	1,44	2,79	1,94						
SCO6151	1,17	2,33	5,47	1,99	4,67	2,35						
SCO6154	1,81	4,18	14,93	2,31	8,24	3,57						
SCO6155	2,16	8,29	16,68	3,84	7,73	2,01						
SCO6156	2,92	2,21	4,85	0,76	1,66	2,20						
SCO6157	0,79	3,15	4,04	3,98	5,10	1,28						
SCO6158	0,76	0,07	0,57	0,10	0,74	7,60						
SCO6159	0,71	0,56	0,43	0,78	0,60	0,77						
SCO6160	0,37	0,80	0,52	2,16	1,40	0,65						
SCO6168	0,76	0,43	1,01	0,57	1,33	2,34						
SCO6169	0,56	0,57	0,39	1,01	0,69	0,69						
SCO6170	14,03	1,16	1,64	0,08	0,12	1,41						
SCO6171	11,68	1,03	1,26	0,09	0,11	1,22						
SCO6172	4,86	0,85	0,82	0,17	0,17	0,97						
SCO6176	0,73	2,57	5,48	3,54	7,54	2,13						
SCO6177	0,55	0,30	0,27	0,54	0,48	0,89						
SCO6178	0,58	0,30	0,33	0,52	0,57	1,09						
SCO6179	0,32	0,22	0,50	0,71	1,57	2,23						
SCO6180	0,68	1,36	1,64	2,02	2,42	1,20						
SCO6192	1,27	1,96	3,11	1,54	2,44	1,58						
SCO6194	1,90	1,55	2,45	0,82	1,29	1,58						
SCO6195	8,39	3,71	18,31	0,44	2,18	4,94						
SCO6196	5,93	3,54	16,52	0,60	2,79	4,67						
SCO6197	5,87	6,10	5,53	1,04	0,94	0,91						
SCO6198	7,12	18,41	15,82	2,59	2,22	0,86						
SCO6199	5,14	14,38	8,44	2,80	1,64	0,59						
SCO6200	1,59	6,69	18,66	4,22	11,77	2,79						
SCO6201	1,90	3,26	3,61	1,72	1,90	1,11						
SCO6202	2,94	2,57	11,69	0,87	3,97	4,54						
SCO6204	1,38	1,96	4,96	1,42	3,59	2,53						
SCO6205	1,49	1,57	5,99	1,05	4,02	3,82						
SCO6206	1,54	1,61	6,26	1,05	4,07	3,88						
SCO6207	1,84	3,00	3,19	1,63	1,73	1,06						
SCO6208	1,63	2,55	3,30	1,56	2,03	1,30						
SCO6209	2,65	7,48	7,30	2,83	2,76	0,98						
SCO6210	3,04	7,84	6,12	2,58	2,01	0,78						
SCO6211	1,95	5,21	5,00	2,66	2,56	0,96						
SCO6212	1,57	4,87	5,74	3,10	3,65	1,18						
SCO6213	1,24	2,26	3,09	1,82	2,48	1,37						
SCO6214	0,82	2,27	4,64	2,76	5,64	2,04						
SCO6218	0,82	0,70	0,49	0,86	0,60	0,70						
SCO6219	1,73	1,66	0,36	0,96	0,21	0,21						
SCO6220	1,51	1,86	0,26	1,23	0,17	0,14						
SCO6221	0,88	0,73	0,30	0,83	0,34	0,41						
SCO6223	0,45	0,93	0,86	2,06	1,91	0,93						
SCO6224	0,78	0,40	0,12	0,51	0,15	0,30						
SCO6225	0,80	0,45	0,14	0,56	0,18	0,32						
SCO6228	1,23	1,74	2,81	1,42	2,29	1,62						
SCO6231	1,06	1,30	2,55	1,23	2,41	1,95						
SCO6235	1,78	2,90	3,33	1,62	1,87	1,15						
SCO6236	1,33	3,52	6,36	2,65	4,79	1,81						
SCO6237	0,94	2,89	1,38	3,07	1,47	0,48						
SCO6239	1,00	1,81	4,57	1,82	4,58	2,52						
SCO6240	0,56	2,05	4,45	3,67	7,97	2,17						
SCO6243	1,71	3,22	6,57	1,89	3,85	2,04						
SCO6245	1,04	1,62	2,93	1,56	2,81	1,81						
SCO6247	1,80	7,08	7,12	3,94	3,95	1,00						
SCO6248	1,65	4,45	4,32	2,69	2,62	0,97						
SCO6254	1,47	0,98	0,57	0,67	0,39	0,58						
SCO6255	2,35	1,91	3,09	0,81	1,32	1,62						
SCO6257	0,32	0,31	0,14	0,98	0,44	0,45						
SCO6258	0,38	0,29	0,14	0,77	0,37	0,48						
SCO6259	0,38	0,28	0,11	0,74	0,30	0,40						
SCO6264	2,53	1,68	5,44	0,66	2,15	3,24						
SCO6265	1,31	11,79	3,81	8,98	2,90	0,32						
SCO6266	2,96	30,41	8,60	10,29	2,91	0,28						
SCO6267	1,82	8,59	2,37	4,73	1,30	0,28						
SCO6268	1,81	230,78	16,90	127,33	9,32	0,07						
SCO6269	2,58	449,33	39,07	173,94	15,12	0,09						
SCO6270	2,57	341,48	26,08	133,04	10,16	0,08						
SCO6271	1,28	261,40	20,04	203,96	15,63	0,08						
SCO6272	2,26	444,15	4,64	196,39	2,05	0,01						
SCO6273	0,85	511,02	44,81	598,55	52,48	0,09						
SCO6274	1,20	677,25	70,54	566,34	58,98	0,10						
SCO6275	2,27	848,12	79,44	373,79	35,01	0,09						
SCO6276	1,93	809,02	164,54	418,30	85,07	0,20						
SCO6277	1,76	638,44	120,25	362,51	68,28	0,19						
SCO6278	1,58	645,93	112,95	409,66	71,63	0,17						
SCO6279	1,75	783,02	125,40	447,64	71,69	0,16						
SCO6280	2,01	100,75	80,92	50,20	40,32	0,80						
SCO6281	2,42	312,21	98,40	129,21	40,72	0,32						
SCO6282	1,55	422,60	194,91	272,10	125,50	0,46						
SCO6283	1,55	286,64	73,75	185,11	47,63	0,26						
SCO6284	1,65	308,11	58,23	186,70	35,28	0,19						
SCO6285	1,56	319,24	63,65	205,11	40,90	0,20						
SCO6286	1,14	46,43	63,16	40,60	55,24	1,36						
SCO6287	1,26	219,45	14,42	173,79	11,42	0,07						
SCO6288	1,54	291,62	38,51	188,82	24,94	0,13						
SCO6289	1,86	35,28	3,95	18,97	2,12	0,11						
SCO6290	2,67	15,62	2,98	5,86	1,12	0,19						
SCO6291	1,37	9,44	1,75	6,88	1,28	0,19						
SCO6292	1,92	21,41	4,34	11,16	2,26	0,20						
SCO6293	1,86	23,34	4,32	12,53	2,32	0,18						
SCO6294	0,52	0,43	0,64	0,82	1,23	1,50						
SCO6295	0,66	1,27	2,93	1,91	4,41	2,31						
SCO6296	0,65	0,58	0,18	0,88	0,28	0,32						
SCO6297	0,71	0,70	0,24	0,98	0,34	0,35						
SCO6298	0,59	0,67	0,35	1,14	0,60	0,53						
SCO6299	0,58	0,51	0,22	0,89	0,37	0,42						
SCO6300	1,47	4,07	4,92	2,77	3,35	1,21						
SCO6319	0,68	0,53	0,41	0,78	0,60	0,77						
SCO6321	2,23	1,84	1,33	0,82	0,60	0,73						
SCO6323	1,36	51,64	48,46	37,92	35,58	0,94						
SCO6324	1,72	3,70	1,08	2,15	0,63	0,29						
SCO6336	0,59	0,65	0,37	1,10	0,63	0,57						
SCO6339	0,93	0,48	0,26	0,51	0,28	0,54						
SCO6340	0,85	0,59	0,40	0,69	0,47	0,68						
SCO6342	1,02	0,72	0,48	0,71	0,48	0,68						
SCO6347	0,82	0,19	0,06	0,23	0,07	0,31						
SCO6348	0,92	0,48	0,41	0,52	0,45	0,87						
SCO6350	1,30	0,82	0,51	0,63	0,39	0,61						
SCO6353	0,77	1,65	2,44	2,15	3,16	1,47						
SCO6354	0,64	1,59	1,68	2,50	2,64	1,06						
SCO6355	0,58	1,58	1,52	2,74	2,62	0,96						
SCO6356	0,65	1,81	1,61	2,78	2,48	0,89						
SCO6357	0,77	2,17	2,25	2,83	2,94	1,04						
SCO6373	0,96	0,86	2,77	0,89	2,88	3,24						
SCO6374	0,65	0,56	1,65	0,87	2,54	2,92						
SCO6375	1,06	2,37	7,64	2,23	7,20	3,23						
SCO6377	1,34	2,10	1,72	1,57	1,28	0,82						
SCO6378	0,82	1,56	1,86	1,89	2,27	1,20						
SCO6379	0,71	1,39	1,99	1,96	2,80	1,43						
SCO6380	0,57	0,60	1,41	1,05	2,48	2,36						
SCO6381	0,71	0,62	3,58	0,87	5,03	5,80						
SCO6383	0,84	1,64	2,88	1,95	3,43	1,75						
SCO6384	1,72	6,60	22,09	3,84	12,84	3,34						
SCO6393	2,22	49,55	41,85	22,32	18,85	0,84						
SCO6394	2,20	67,50	73,31	30,70	33,35	1,09						
SCO6399	1,82	4,98	6,73	2,74	3,71	1,35						
SCO6405	1,00	2,78	1,66	2,78	1,65	0,60						
SCO6408	0,78	1,59	3,04	2,03	3,88	1,91						
SCO6409	0,60	0,77	3,55	1,30	5,95	4,59						
SCO6410	0,70	1,39	2,39	1,98	3,41	1,72						
SCO6411	1,14	1,70	3,19	1,49	2,80	1,88						
SCO6412	1,47	2,16	4,16	1,47	2,83	1,93						
SCO6413	1,16	1,69	2,87	1,46	2,46	1,69						
SCO6414	1,60	2,61	20,27	1,63	12,67	7,75						
SCO6415	2,05	4,40	29,93	2,14	14,59	6,80						
SCO6416	3,45	6,43	36,78	1,86	10,66	5,72						
SCO6417	1,15	1,86	12,81	1,62	11,16	6,90						
SCO6418	0,91	1,22	0,60	1,34	0,66	0,49						
SCO6419	2,55	1,61	2,32	0,63	0,91	1,44						
SCO6421	1,38	5,27	6,99	3,83	5,08	1,33						
SCO6422	2,01	7,02	10,43	3,49	5,18	1,49						
SCO6423	0,63	1,98	1,51	3,15	2,39	0,76						
SCO6424	3,01	3,62	0,67	1,21	0,22	0,18						
SCO6428	3,59	9,02	18,80	2,52	5,24	2,08						
SCO6429	5,15	5,10	32,47	0,99	6,30	6,37						
SCO6430	5,45	2,64	16,51	0,48	3,03	6,26						
SCO6431	6,56	3,20	22,52	0,49	3,44	7,04						
SCO6432	4,22	2,00	9,40	0,47	2,23	4,70						
SCO6433	5,47	2,97	26,57	0,54	4,86	8,95						
SCO6434	5,46	3,35	23,62	0,61	4,33	7,05						
SCO6435	3,32	2,86	17,76	0,86	5,35	6,21						
SCO6436	4,84	2,51	18,91	0,52	3,91	7,54						
SCO6437	5,26	2,85	19,34	0,54	3,68	6,79						
SCO6438	1,42	0,78	2,30	0,55	1,61	2,94						
SCO6440	1,38	1,58	7,82	1,14	5,67	4,95						
SCO6441	1,38	1,38	7,90	1,00	5,72	5,73						
SCO6442	1,45	1,34	6,01	0,92	4,15	4,50						
SCO6443	2,65	1,85	15,25	0,70	5,76	8,22						
SCO6447	1,87	2,54	2,09	1,36	1,12	0,82						
SCO6448	1,46	2,70	3,93	1,84	2,69	1,46						
SCO6450	1,95	0,94	1,17	0,48	0,60	1,25						
SCO6452	1,52	0,88	0,75	0,58	0,49	0,86						
SCO6453	1,42	0,70	0,65	0,49	0,46	0,94						
SCO6454	1,44	0,69	0,63	0,48	0,43	0,90						
SCO6455	1,21	0,57	0,52	0,47	0,43	0,92						
SCO6457	4,68	10,18	14,96	2,18	3,20	1,47						
SCO6460	0,44	0,26	1,99	0,58	4,51	7,76						
SCO6461	1,64	2,18	5,24	1,33	3,19	2,40						
SCO6462	1,66	3,68	6,59	2,22	3,97	1,79						
SCO6463	0,50	0,61	1,57	1,21	3,12	2,58						
SCO6473	1,23	0,30	1,92	0,24	1,56	6,48						
SCO6475	0,83	1,96	10,54	2,37	12,71	5,37						
SCO6476	2,80	12,82	19,19	4,57	6,85	1,50						
SCO6479	0,88	1,21	5,51	1,38	6,29	4,56						
SCO6480	1,48	1,29	12,95	0,87	8,77	10,06						
SCO6481	0,98	0,86	17,30	0,87	17,64	20,22						
SCO6483	0,93	1,49	0,44	1,61	0,48	0,30						
SCO6484	3,54	16,49	43,18	4,65	12,18	2,62						
SCO6485	3,93	3,40	4,56	0,86	1,16	1,34						
SCO6486	1,55	0,93	0,46	0,60	0,30	0,49						
SCO6487	1,43	0,89	0,44	0,62	0,30	0,49						
SCO6488	1,37	0,92	0,54	0,68	0,40	0,59						
SCO6489	1,31	0,89	0,49	0,68	0,37	0,55						
SCO6492	3,13	2,71	2,88	0,87	0,92	1,06						
SCO6493	1,91	3,04	2,95	1,59	1,55	0,97						
SCO6495	0,64	2,47	1,17	3,83	1,82	0,47						
SCO6497	0,90	2,50	1,85	2,79	2,06	0,74						
SCO6498	0,54	1,46	1,06	2,69	1,95	0,73						
SCO6499	0,92	1,22	2,08	1,32	2,25	1,70						
SCO6501	0,84	1,35	1,91	1,60	2,27	1,42						
SCO6502	0,79	1,26	1,74	1,60	2,21	1,38						
SCO6503	0,80	1,36	1,71	1,71	2,14	1,25						
SCO6504	0,73	1,39	1,62	1,91	2,22	1,16						
SCO6506	0,75	1,32	1,66	1,76	2,21	1,25						
SCO6507	0,89	1,47	2,05	1,65	2,30	1,39						
SCO6508	0,76	1,47	1,72	1,94	2,27	1,17						
SCO6509	0,80	1,15	3,34	1,44	4,18	2,90						
SCO6511	0,49	1,02	0,36	2,06	0,73	0,35						
SCO6512	1,05	0,82	0,52	0,78	0,50	0,63						
SCO6513	0,71	2,03	1,85	2,86	2,62	0,92						
SCO6515	1,13	2,83	1,75	2,49	1,54	0,62						
SCO6516	1,13	2,61	1,71	2,31	1,52	0,66						
SCO6517	1,50	3,63	4,53	2,42	3,01	1,25						
SCO6518	1,40	1,71	2,52	1,22	1,80	1,48						
SCO6519	1,53	1,63	2,32	1,07	1,52	1,42						
SCO6520	1,22	0,98	2,06	0,81	1,69	2,09						
SCO6522	1,38	1,50	2,29	1,09	1,66	1,53						
SCO6523	1,16	1,92	2,49	1,65	2,15	1,30						
SCO6528	1,52	2,84	2,32	1,87	1,53	0,82						
SCO6531	1,45	4,24	2,97	2,92	2,05	0,70						
SCO6535	0,89	0,76	0,29	0,85	0,33	0,39						
SCO6536	1,94	1,51	0,94	0,78	0,48	0,62						
SCO6537	1,41	1,08	0,58	0,77	0,41	0,54						
SCO6543	3,20	1,20	6,03	0,37	1,88	5,04						
SCO6544	4,81	4,90	2,06	1,02	0,43	0,42						
SCO6545	1,84	1,17	0,34	0,63	0,18	0,29						
SCO6546	0,37	0,16	0,35	0,43	0,93	2,18						
SCO6549	1,52	2,77	3,50	1,82	2,30	1,26						
SCO6551	0,82	1,93	1,16	2,35	1,41	0,60						
SCO6553	0,67	0,42	0,33	0,62	0,49	0,79						
SCO6556	3,70	1,24	1,74	0,33	0,47	1,41						
SCO6557	0,64	0,56	0,38	0,88	0,60	0,69						
SCO6564	0,87	1,86	0,17	2,15	0,20	0,09						
SCO6565	0,74	0,98	0,39	1,32	0,52	0,40						
SCO6566	2,54	1,61	0,90	0,63	0,35	0,56						
SCO6567	2,94	3,62	4,33	1,23	1,48	1,20						
SCO6568	3,37	4,49	5,40	1,33	1,60	1,20						
SCO6569	3,10	3,64	6,66	1,17	2,15	1,83						
SCO6570	3,52	3,44	4,66	0,98	1,32	1,36						
SCO6571	3,17	2,88	4,80	0,91	1,52	1,67						
SCO6572	3,71	3,95	11,67	1,07	3,15	2,95						
SCO6573	1,02	1,86	4,80	1,81	4,70	2,59						
SCO6579	1,17	1,45	6,22	1,24	5,33	4,28						
SCO6580	1,68	2,08	6,17	1,24	3,67	2,97						
SCO6583	0,77	1,74	1,81	2,27	2,36	1,04						
SCO6588	2,85	10,59	4,90	3,71	1,72	0,46						
SCO6590	0,94	0,31	0,30	0,33	0,32	0,96						
SCO6591	0,96	0,32	0,37	0,33	0,39	1,17						
SCO6592	1,04	0,38	0,59	0,36	0,57	1,57						
SCO6593	0,97	0,42	0,92	0,43	0,95	2,20						
