Gene	Average log2 MII24h/MI12h	Average log2 MII48h/MI12h	Average log2 MII72h/MI12h
SCO1240	1,311	0,914	1,662
SCO0705	1,33	1,419	1,658
SCO1426	1,763	1,897	1,654
SCO5820	1,344	1,726	1,652
SCO6393	1,112	1,872	1,646
SCO7590	0,624	0,584	1,646
SCO6205	1,396	1,682	1,644
SCO1590	0,876	1,576	1,638
SCO6547	2,117	2,192	1,637
SCO1822	0,906	2,529	1,629
SCO5522	0,743	2,16	1,629
SCO2009	2,622	2,528	1,628
SCO3814	2,214	2,854	1,616
SCO4676	1,73	1,952	1,614
SCO6236	0,796	1,571	1,612
SCO6157	0,741	1,631	1,609
SCO1155	1,07	1,961	1,607
SCO5243	0,792	1,601	1,605
SCO6201	1,499	1,544	1,603
SCO6950	0,998	1,446	1,594
SCO3990	1,21	1,063	1,594
SCO0043	0,723	0,903	1,593
SCO6484	1,135	1,7	1,592
SCO5137	1,287	1,611	1,588
SCO4790	0,219	0,554	1,587
SCO5446	0,708	2,212	1,584
SCO2263	0,883	1,637	1,579
SCO5865	0,897	1,026	1,578
SCO1262	1,136	1,112	1,573
SCO5749	1,245	1,297	1,568
SCO5386	0,741	1,257	1,567
SCO2370	1,446	1,61	1,563
SCO4038	0,493	1,088	1,553
SCO2927	-0,643	2,247	1,547
SCO0268	2,739	2,181	1,544
SCO5539	0,899	1,218	1,544
SCO5640	1,378	1,036	1,544
SCO2584	0,683	1,427	1,535
SCO2252	1,078	1,687	1,534
SCO7658	2,759	1,379	1,527
SCO5015	1,393	2,879	1,523
SCO4799	-1,493	0,679	1,517
SCO5996	1,015	1,83	1,513
SCO1163	0,805	1,171	1,511
SCO6469	1,174	1,641	1,505
SCO2919	1,941	1,664	1,499
SCO1571	1,271	1,952	1,494
SCO0388	0,793	1,733	1,492
SCO7269	1,912	1,48	1,492
SCO5538	0,764	1,149	1,492
SCO0703	1,782	1,825	1,488
SCO7740	1,038	1,303	1,483
SCO6417	1,186	1,602	1,471
SCO2494	0,78	1,866	1,467
SCO2521	1,34	1,98	1,463
SCO6171	-0,421	1,739	1,444
SCO5693	0,794	1,38	1,438
SCO7074	1,388	1,264	1,438
SCO6980	0,677	1,263	1,436
SCO4131	1,177	1,192	1,427
SCO1321	-0,619	0,897	1,425
SCO2067	2,054	1,123	1,423
SCO0764	1,221	1,815	1,422
SCO6128	1,059	1,395	1,418
SCO5014	0,992	2,037	1,415
SCO6796	1,317	2,386	1,413
SCO4441	1,049	1,316	1,408
SCO1376	0,457	1,308	1,405
SCO7765	0,798	1,127	1,405
SCO5537	1,024	1,078	1,399
SCO2512	0,818	0,617	1,399
SCO3786	-1,236	-0,419	1,397
SCO6195	1,356	1,274	1,395
SCO5545	1,895	1,255	1,395
SCO4091	1,025	0,887	1,392
SCO3663	1,637	1,394	1,391
SCO2102	0,525	1,473	1,39
SCO7246	0,59	1,442	1,389
SCO6196	1,191	1,309	1,386
SCO2705	0,757	1,574	1,385
SCO0412	1,182	1,213	1,382
SCO4088	0,741	1,13	1,373
SCO2114	0,911	0,487	1,371
SCO2978	0,424	1,799	1,362
SCO5209	0,655	1,343	1,361
SCO7657	3,058	1,371	1,357
SCO4679	1,424	1,345	1,352
SCO7127	0,577	0,501	1,351
SCO6637	1,562	1,733	1,35
SCO2265	0,806	1,062	1,349
SCO0587	1,164	1,497	1,347
SCO4682	0,884	0,85	1,346
SCO6204	1,436	1,505	1,338
SCO7471	3,44	1,181	1,336
SCO37154	1,181	1,378	1,333
SCO7227	-1,021	0,876	1,331
SCO6390	1,45	0,751	1,331
SCO3799	0,932	1,41	1,329
SCO1993	1,948	1,027	1,321
SCO2312	0,708	0,805	1,321
SCO4034	0,791	1,465	1,314
SCO2220	0,642	1,356	1,311
SCO4632	0,726	1,564	1,3
SCO5385	0,82	1,625	1,293
SCO6033	1,5	0,993	1,292
SCO7338	0,222	0,805	1,283
SCO5077	1,124	1,315	1,279
SCO2589	0,808	1,284	1,277
SCO2867	2,02	1,434	1,276
SCO1100	0,539	1,515	1,274
SCO5629	0,723	1,522	1,272
SCO4678	0,792	0,981	1,272
SCO2921	1,307	1,278	1,263
SCO4347	1,904	2,063	1,258
SCO1192	1,692	1,385	1,255
SCO3662	2,228	1,696	1,254
SCO1479	1,496	1,198	1,254
SCO1646	0,57	0,998	1,254
SCO6155	0,86	0,959	1,252
SCO2461	1,124	0,93	1,247
SCO6949	1,233	0,78	1,246
SCO3620	1,006	1,304	1,245
SCO6416	1,482	1,295	1,236
SCO0560	2,015	1,234	1,235
SCO2290	0,39	1,087	1,234
SCO2963	1,028	1,401	1,232
SCO5801	0,852	1,76	1,229
SCO7263	0,517	1,618	1,229
SCO4571	-2,028	0,686	1,223
SCO4902	0,865	1,679	1,221
SCO5447	0,415	3,094	1,22
SCO0561	2,347	1,484	1,213
SCO3543	0,337	0,955	1,21
SCO2253	0,988	1,426	1,207
SCO6414	0,808	1,092	1,207
SCO4978	0,979	1,508	1,202
SCO7575	0,618	2,047	1,198
SCO6208	1,137	1,12	1,194
SCO2526	0,962	1,739	1,191
SCO1529	0,598	0,821	1,191
SCO5710	0,575	1,207	1,187
SCO0305	0,804	1,613	1,185
SCO2531	0,584	1,459	1,185
SCO0733	0,785	0,981	1,184
SCO6476	0,451	1,16	1,183
SCO1600	0,711	0,982	1,181
SCO4241	0,382	1,247	1,178
SCO2078	1,283	1,128	1,177
