"gene","logFC","FDR","add_variable","time","data_name"
"SCO3232",1.88,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3233",6.94,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3233",2.81,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3233",2.96,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3234",2.13,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3234",1.52,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3234",1.82,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3235",3.1,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3235",2.93,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3235",1.82,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3236",6.78,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3236",3.05,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3236",2.97,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3237",2.16,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3237",1.38,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3237",1.35,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3238",3.07,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3238",1.38,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3238",1.87,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3239",4.33,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3239",2.22,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3239",2.3,0,"DohkAvsM145",88,"ohkA_scoe"
