"gene","logFC","FDR","time","add_variable","data_name"
"SCO0315",0.43082,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0315",0.610003,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0320",-3.041,0,32,"DargR.M145","argR_2018"
"SCO0320",-0.464,0,42,"DargR.M145","argR_2018"
"SCO0320",-2.134,0,49,"DargR.M145","argR_2018"
"SCO0320",-2.291,0,56,"DargR.M145","argR_2018"
"SCO0320",-1.364,0,66,"DargR.M145","argR_2018"
"SCO0320",0.00308,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0320",0.676101,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0320",0.019482,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0320",0.028428,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0320",0.189576,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0323",1.779,0,32,"DargR.M145","argR_2018"
"SCO0323",0.325,0,42,"DargR.M145","argR_2018"
"SCO0323",0.126,0,49,"DargR.M145","argR_2018"
"SCO0323",0.369,0,56,"DargR.M145","argR_2018"
"SCO0323",0.659,0,66,"DargR.M145","argR_2018"
"SCO0323",0.000606,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0323",0.531201,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0323",0.808473,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0323",0.615741,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0323",0.206223,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0330",-0.015,0,32,"DargR.M145","argR_2018"
"SCO0330",0.091,0,42,"DargR.M145","argR_2018"
"SCO0330",0.752,0,49,"DargR.M145","argR_2018"
"SCO0330",0.138,0,56,"DargR.M145","argR_2018"
"SCO0330",0.528,0,66,"DargR.M145","argR_2018"
"SCO0330",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0330",0.764064,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0330",0.002994,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0330",0.755595,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0330",0.034398,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0332",-0.062,0,32,"DargR.M145","argR_2018"
"SCO0332",-0.429,0,42,"DargR.M145","argR_2018"
"SCO0332",-0.024,0,49,"DargR.M145","argR_2018"
"SCO0332",0.03,0,56,"DargR.M145","argR_2018"
"SCO0332",0.017,0,66,"DargR.M145","argR_2018"
"SCO0332",0.976183,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0332",0.007822,0,42,"p.BH.DargR.M145","argR_2018"
