"gene","logFC","FDR","add_variable","data_name","time"
"SCO5398",1.722,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1822",0.906,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1822",2.529,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1822",1.629,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2927",-0.643,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2927",2.247,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2927",1.547,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2067",2.054,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2067",1.123,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2067",1.423,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6796",1.317,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6796",2.386,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6796",1.413,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO7471",3.44,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO7471",1.181,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO7471",1.336,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3662",2.228,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3662",1.696,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3662",1.254,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5447",0.415,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5447",3.094,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5447",1.22,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO7575",0.618,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO7575",2.047,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO7575",1.198,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2010",2.449,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2010",2.171,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2010",1.145,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2240",2.062,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2240",1.49,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2240",1.083,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5230",1.065,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5230",2.004,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5230",1.08,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6766",2.531,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6766",1.089,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6766",0.908,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1105",3.24,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1105",1.78,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1105",0.864,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO7472",3.223,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO7472",0.78,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO7472",0.69,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3956",-2.73,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3956",-1.109,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3956",-0.728,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6694",-2.081,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6694",-1.747,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6694",-0.891,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4804",-2.222,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4804",-1.384,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4804",-1.082,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4801",-2.047,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4801",-1.362,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4801",-1.121,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3000",-2.55,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3000",-1.924,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3000",-1.228,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2352",-2.556,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2352",-1.332,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2352",-1.24,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1046",-2.342,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1046",-2.004,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1046",-1.436,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1293",2.265,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1293",-1.344,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1293",-1.498,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6262",-2.226,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6262",-2.02,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6262",-1.561,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3351",-2.419,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3351",-1.906,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3351",-1.571,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1966",-2.777,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1966",-2.385,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1966",-1.869,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2730",-3.049,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2730",-2.42,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2730",-1.874,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6086",-2.412,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6086",-1.61,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6086",-1.902,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6341",-2.039,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6341",-2.08,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6341",-1.917,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2205",-3.472,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2205",-3.566,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2205",-1.928,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6101",-1.465,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6101",-1.85,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6101",-2.014,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2848",-1.929,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2848",-2.293,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2848",-2.036,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2950",-1.201,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2950",-1.655,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2950",-2.049,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4852",-1.949,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4852",-2.248,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4852",-2.058,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3793",-1.077,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3793",-2.264,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3793",-2.087,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2911",-2.052,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2911",-2.587,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2911",-2.134,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO7016",-0.986,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO7016",-1.723,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO7016",-2.142,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4005",-2.702,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4005",-2.484,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4005",-2.142,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5494",-3.36,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5494",-2.551,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5494",-2.159,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1557",-1.459,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1557",-2.261,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1557",-2.307,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3166",-2.722,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3166",-2.431,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3166",-2.307,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4641",-2.271,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4641",-2.271,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4641",-2.483,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4020",-1.47,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4020",-2.432,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4020",-2.486,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
