"gene","logFC","FDR","add_variable","time","data_name"
"SCO0188",-0.548,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0188",0.801,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0189",2.025,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0189",-0.294,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0189",0.878,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0191",1.76,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0191",-0.495,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0191",0.282,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1206",0.758,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1206",-1.81,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1206",-2.61,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1207",1.117,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1207",-1.759,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1207",-2.96,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1208",0.774,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1208",-1.904,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1208",-2.455,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2782",0.935,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2782",-1.816,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2782",-3.808,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2783",0.639,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2783",-1.613,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2783",-4.193,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2784",0.595,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2784",-2.027,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2784",-4.234,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2785",0.757,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2785",-1.679,0,"DdraRKvsM145",48,"draRK_scoe"
